FARMA SALUD                   ;;;;Informe Emitido por:;;;;;;;
SOC.FARMA CRUCES SALDAÑO                ;;;;  6 NICOLAS              Supervisor;;;;;;;
FARMACIA Rut:76.383.674-6;;;;Fecha 06-09-2026 Hrs. 15:41:40;;;;;;;
COLON 222                          ;;;;;;;;;;;
442888351;;;;;;;;;;;
Maestro de productos ;;;;;;;;;;;
LAB;GRUPO;CODIGO;CODBARRA;DETALLE;COSTO;MARGEN;PRECIO;PCADENA;POFERTA;STOCK;DESCUENTO
ACCESORIOS (TRIM Y GALA);;177391;7809634802270;GALA PACK CORTAUÑAS PIES MANOS;1687;34;2690;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177394;7809634802287;GALA PACK ESPEJO AUMENTO X PINZA;2201;37.07;3590;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177388;7809634802317;GALA SET D EPINZAS CEJAS 2X1;1138;32.18;1790;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177408;7809634802638;GALA SET LIMAS MULTICOLOR X 2 UNID;1533;31.01;2390;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177392;7809634802263;GALA SET LIMAS X 10 UNID;1023;38.82;1690;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177007;23;GUTAPERCHA 500GR.(70);179;130.04;490;0;0;14;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177425;71603105003;TRIM ALICATE + CORTA UNA;4230;38.86;6990;0;0;0;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177428;71603055827;TRIM CEPILLO U¥AS;1185;39.46;1990;0;0;7;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177429;71603002098;TRIM CORTA UNAS MANOS;897;34.17;1390;0;0;2;Si
ACCESORIOS (TRIM Y GALA);;177461;71603735736;TRIM CORTA UÑAS CHICO MANGO GOMA;1495;34.34;2390;3790;0;4;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177431;71603005167;TRIM CORTAUNAS (P/PIES);1451;45.43;2990;0;0;1;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177432;71603000063;TRIM CORTAU¥AS PIE+MANO;1772;39.47;2890;0;0;3;Si
